date,window,industry,rank,ret,rel,members
2026-08-03,3M,Electronics Distributors,1,64.3662242883142,58.24723135549431,4
2026-08-03,3M,Telecommunications Equipment,2,39.83968190861864,33.720688975798744,7
2026-08-03,3M,Biotechnology,3,37.363412743494905,31.24441981067501,4
2026-08-03,3M,Medical Specialties,4,34.55760186913732,28.43860893631743,5
2026-08-03,3M,Electronic Components,5,31.42735463554096,25.308361702721065,5
2026-08-03,3M,Wholesale Distributors,6,30.46831647660924,24.349323543789342,16
2026-08-03,3M,Airlines,7,29.0701659642066,22.951173031386706,2
2026-08-03,3M,Personnel Services,8,27.303000652315724,21.18400771949583,2
2026-08-03,3M,Specialty Stores,9,24.37770083570894,18.258707902889043,11
2026-08-03,3M,Other Consumer Specialties,10,24.16805511695283,18.049062184132936,17
2026-08-03,3M,Electronic Production Equipment,11,21.24672503864916,15.127732105829262,10
2026-08-03,3M,Medical/Nursing Services,12,17.582767721665064,11.46377478884517,10
2026-08-03,3M,Industrial Specialties,13,17.169555927001017,11.050562994181124,25
2026-08-03,3M,Auto Parts: OEM,14,16.442865749043985,10.32387281622409,52
2026-08-03,3M,Internet Software/Services,15,16.412867370795574,10.29387443797568,13
2026-08-03,3M,Pharmaceuticals: Major,16,16.030302624944667,9.911309692124773,79
2026-08-03,3M,Other Transportation,17,15.189882747536403,9.07088981471651,4
2026-08-03,3M,Electronic Equipment/Instruments,18,14.813829619308844,8.69483668648895,8
2026-08-03,3M,Forest Products,19,14.224036333447646,8.105043400627752,4
2026-08-03,3M,Real Estate Development,20,13.638502741339906,7.519509808520011,35
2026-08-03,3M,Air Freight/Couriers,21,13.579111292899965,7.46011836008007,9
2026-08-03,3M,Packaged Software,22,13.15260994255152,7.033617009731625,37
2026-08-03,3M,Miscellaneous Commercial Services,23,12.746924929968074,6.627931997148179,34
2026-08-03,3M,Metal Fabrication,24,12.61456297900658,6.495570046186685,28
2026-08-03,3M,Internet Retail,25,12.541956576594934,6.42296364377504,4
2026-08-03,3M,Containers/Packaging,26,12.433335232506147,6.314342299686254,11
2026-08-03,3M,Motor Vehicles,27,12.078600492454653,5.959607559634758,16
2026-08-03,3M,Wireless Telecommunications,28,12.007919558384415,5.888926625564521,3
2026-08-03,3M,Beverages: Alcoholic,29,11.959483504190375,5.840490571370482,9
2026-08-03,3M,Movies/Entertainment,30,11.692385115942106,5.573392183122211,7
2026-08-03,3M,Pharmaceuticals: Other,31,11.678464122885696,5.559471190065802,5
2026-08-03,3M,Apparel/Footwear,32,11.67362468988349,5.554631757063595,18
2026-08-03,3M,Hospital/Nursing Management,33,11.48089558454815,5.361902651728256,16
2026-08-03,3M,Electronics/Appliance Stores,34,11.381841362732242,5.262848429912348,2
2026-08-03,3M,Textiles,35,11.137236008345385,5.018243075525488,26
2026-08-03,3M,Home Furnishings,36,10.364877677342305,4.245884744522408,7
2026-08-03,3M,Chemicals: Major Diversified,37,10.023562859559682,3.904569926739788,12
2026-08-03,3M,Finance/Rental/Leasing,38,9.858811733544057,3.739818800724162,55
2026-08-03,3M,Financial Conglomerates,39,9.769377886878788,3.650384954058893,8
2026-08-03,3M,Regional Banks,40,9.493091566277434,3.374098633457539,19
2026-08-03,3M,Information Technology Services,41,9.45188183551774,3.332888902697844,30
2026-08-03,3M,Electronics/Appliances,42,9.313123711288304,3.194130778468409,9
2026-08-03,3M,Homebuilding,43,9.302109006742793,3.1831160739228963,4
2026-08-03,3M,Oilfield Services/Equipment,44,9.208729092934137,3.089736160114242,3
2026-08-03,3M,Food: Major Diversified,45,9.01345853800654,2.894465605186644,5
2026-08-03,3M,Chemicals: Specialty,46,8.914337838185515,2.7953449053656207,51
2026-08-03,3M,Hotels/Resorts/Cruise lines,47,8.513264252407893,2.3942713195879985,16
2026-08-03,3M,Life/Health Insurance,48,8.383411892774683,2.2644189599547886,8
2026-08-03,3M,Automotive Aftermarket,49,6.883306757715004,0.7643138248951091,8
2026-08-03,3M,Construction Materials,50,6.315655913864043,0.196662981044148,21
2026-08-03,3M,Industrial Machinery,51,5.983088220071444,-0.1359047127484505,57
2026-08-03,3M,Coal,52,5.690383168653165,-0.4286097641667297,4
2026-08-03,3M,Restaurants,53,5.143430266959064,-0.9755626658608304,7
2026-08-03,3M,Food: Specialty/Candy,54,4.935476804795729,-1.1835161280241655,19
2026-08-03,3M,Multi-Line Insurance,55,4.742052400478134,-1.3769405323417605,5
2026-08-03,3M,Electrical Products,56,4.289944894986453,-1.8290480378334413,53
2026-08-03,3M,Data Processing Services,57,3.758578821897816,-2.360414110922078,3
2026-08-03,3M,Trucks/Construction/Farm Machinery,58,3.306434118737427,-2.812558814082468,19
2026-08-03,3M,Real Estate Investment Trusts,59,3.0131963967302124,-3.105796536089682,7
2026-08-03,3M,Major Banks,60,2.5813620280584386,-3.537630904761456,22
2026-08-03,3M,Building Products,61,2.5070305024320447,-3.61196243038785,12
2026-08-03,3M,Engineering & Construction,62,2.4209420014910767,-3.698050931328818,55
2026-08-03,3M,Household/Personal Care,63,2.387276129574283,-3.731716803245612,12
2026-08-03,3M,Agricultural Commodities/Milling,64,2.083710806679136,-4.035282126140759,24
2026-08-03,3M,Investment Managers,65,2.077118205113837,-4.041874727706057,13
2026-08-03,3M,Aerospace & Defense,66,1.895759499848747,-4.223233432971147,9
2026-08-03,3M,Oil & Gas Production,67,1.8484047127622996,-4.270588220057595,3
2026-08-03,3M,Food: Meat/Fish/Dairy,68,1.4985008051429882,-4.620492127676906,6
2026-08-03,3M,Marine Shipping,69,1.4098135334736028,-4.709179399346292,3
2026-08-03,3M,Chemicals: Agricultural,70,1.2990789882616391,-4.819913944558255,26
2026-08-03,3M,Semiconductors,71,0.9983256091132622,-5.120667323706632,10
2026-08-03,3M,Railroads,72,0.8772429444168157,-5.241749988403079,2
2026-08-03,3M,Office Equipment/Supplies,73,-0.6877779995328619,-6.806770932352757,5
2026-08-03,3M,Gas Distributors,74,-1.7580626425400805,-7.877055575359975,6
2026-08-03,3M,Steel,75,-2.01904015274521,-8.138033085565105,49
2026-08-03,3M,Major Telecommunications,76,-2.33013057084807,-8.449123503667966,5
2026-08-03,3M,Trucking,77,-2.3948796859949693,-8.513872618814863,3
2026-08-03,3M,Financial Publishing/Services,78,-2.464375132000208,-8.583368064820103,2
2026-08-03,3M,Miscellaneous Manufacturing,79,-2.4853458527592376,-8.604338785579133,13
2026-08-03,3M,Investment Banks/Brokers,80,-2.49836202676787,-8.617354959587765,22
2026-08-03,3M,Other Consumer Services,81,-2.63022223532952,-8.749215168149416,5
2026-08-03,3M,Integrated Oil,82,-2.811206638910289,-8.930199571730183,4
2026-08-03,3M,Apparel/Footwear Retail,83,-3.11581930654591,-9.234812239365803,12
2026-08-03,3M,Investment Trusts/Mutual Funds,84,-3.414355338121495,-9.533348270941389,3
2026-08-03,3M,Oil Refining/Marketing,85,-3.942168677702116,-10.06116161052201,10
2026-08-03,3M,Pulp & Paper,86,-4.306524563177071,-10.425517495996964,4
2026-08-03,3M,Alternative Power Generation,87,-4.633361206034206,-10.752354138854102,10
2026-08-03,3M,Broadcasting,88,-4.864942424299331,-10.983935357119226,3
2026-08-03,3M,Electric Utilities,89,-5.20084659670246,-11.319839529522357,24
2026-08-03,3M,Other Metals/Minerals,90,-5.543948757769729,-11.662941690589625,15
2026-08-03,3M,Publishing: Newspapers,91,-5.602941230812956,-11.72193416363285,2
2026-08-03,3M,Tobacco,92,-7.321602195691374,-13.44059512851127,3
2026-08-03,3M,Industrial Conglomerates,93,-8.185518720604176,-14.30451165342407,4
2026-08-03,3M,Specialty Insurance,94,-8.799325536083957,-14.918318468903852,2
2026-08-03,3M,Aluminum,95,-10.581602123154582,-16.700595055974475,4
2026-08-04,3M,Electronics Distributors,1,60.559301262063265,55.77966301406905,4
2026-08-04,3M,Biotechnology,2,41.492970862265324,36.71333261427111,4
2026-08-04,3M,Telecommunications Equipment,3,38.673869620895815,33.8942313729016,7
2026-08-04,3M,Medical Specialties,4,32.22350921316821,27.443870965173993,5
2026-08-04,3M,Electronic Components,5,30.494108404022025,25.714470156027808,5
2026-08-04,3M,Wholesale Distributors,6,29.29520438375575,24.51556613576153,16
2026-08-04,3M,Specialty Stores,7,24.82655993625909,20.046921688264874,11
2026-08-04,3M,Other Consumer Specialties,8,20.860360613987833,16.080722365993616,16
2026-08-04,3M,Electronic Production Equipment,9,20.565545888310208,15.785907640315992,9
2026-08-04,3M,Personnel Services,10,19.87452651515152,15.094888267157303,2
2026-08-04,3M,Consumer Sundries,11,18.302006800306845,13.52236855231263,2
2026-08-04,3M,Forest Products,12,16.52603249980642,11.746394251812204,5
2026-08-04,3M,Other Transportation,13,16.478946531935392,11.699308283941177,4
2026-08-04,3M,Medical/Nursing Services,14,16.153629385315416,11.3739911373212,12
2026-08-04,3M,Containers/Packaging,15,15.537682579141164,10.758044331146948,11
2026-08-04,3M,Auto Parts: OEM,16,15.388865548805239,10.609227300811023,51
2026-08-04,3M,Industrial Specialties,17,15.130296261960819,10.350658013966603,25
2026-08-04,3M,Oilfield Services/Equipment,18,15.126486634380951,10.346848386386736,2
2026-08-04,3M,Pharmaceuticals: Major,19,14.923260522724124,10.143622274729909,80
2026-08-04,3M,Internet Retail,20,14.778141887810403,9.998503639816187,4
2026-08-04,3M,Internet Software/Services,21,14.721981152472114,9.942342904477899,13
2026-08-04,3M,Electronic Equipment/Instruments,22,14.533426539771998,9.753788291777783,8
2026-08-04,3M,Air Freight/Couriers,23,13.75529226050454,8.975654012510324,8
2026-08-04,3M,Beverages: Alcoholic,24,13.31504685428915,8.535408606294935,9
2026-08-04,3M,Movies/Entertainment,25,13.068700315136871,8.289062067142655,7
